time,value
1544881273,3260398.724
1544881343,3302478.010
1544881410,3207790.611
1544881481,3289551.500
1544881549,3287042.419
1544881618,3294042.119
1544881689,3284524.345
1544881757,3302490.969
1544881825,3289591.081
1544881892,3301730.891
1544881961,3292314.654
1544882030,3286767.560
1544882099,3285958.854
1544882168,3264710.472
1544882236,3277784.498
1544882304,3296227.227
1544882373,3316203.769
1544882441,3258796.413
1544882510,3291217.769
1544882578,3295875.916
1544882646,3265273.002
1544882715,3259702.455
1544882783,3302969.245
1544882851,3279040.773
1544882928,2019165.957
1544883009,2969110.693
1544883083,2781053.923
1544883155,3234648.520
1544883225,2776128.862
1544883303,2770975.580
1544883380,2767208.876
1544883459,3118092.725
1544883530,3220938.421
1544883600,3244488.599
1544883670,3177536.381
1544883741,3251627.998
1544883809,3262358.144
1544883880,3249812.092
1544883949,3245807.834
1544884019,3261236.276
1544884088,3311567.738
1544884156,3240244.008
1544884225,3288317.390
1544884294,3278955.855
1544884364,3262943.427
1544884433,3263384.265
1544884503,3284833.771
1544884572,3246805.395
