time,value
1544867169,23476.450
1544867230,22118.180
1544867293,25175.800
1544867354,25350.700
1544867415,23753.410
1544867477,24851.200
1544867539,24883.400
1544867601,24100.950
1544867662,22996.045
1544867724,24425.850
1544867785,22503.410
1544867851,22344.815
1544867913,21881.635
1544867975,21505.500
1544868039,23290.180
1544868103,21720.875
1544868165,25107.800
1544868227,21732.460
1544868290,23759.545
1544868352,22848.725
1544868415,20284.000
1544868479,25332.600
1544868540,24473.250
1544868605,23508.635
1544868667,23255.545
1544868729,25047.200
1544868790,24691.500
1544868853,23668.775
1544868914,21844.365
1544868975,23187.820
1544869037,21356.835
1544869099,23651.180
1544869162,23819.450
1544869224,24541.850
1544869286,24400.750
1544869348,25821.000
1544869410,25556.100
1544869472,25221.950
1544869533,23368.590
1544869595,23570.500
1544869656,24602.200
1544869717,23856.500
1544869780,24874.100
1544869843,25992.050
1544869905,24049.400
1544869967,21991.545
1544870029,25601.000
1544870090,24392.000
