time,value
1544867181,4.731418
1544867242,4.638574
1544867304,4.722395
1544867365,4.743157
1544867427,4.700987
1544867489,4.728763
1544867551,4.737841
1544867612,4.776637
1544867674,4.807690
1544867736,4.786777
1544867800,4.854467
1544867862,4.846871
1544867925,4.809901
1544867987,4.697812
1544868052,4.861395
1544868115,4.845705
1544868177,4.798781
1544868239,4.788127
1544868302,4.789997
1544868364,4.950626
1544868429,4.846832
1544868490,4.784502
1544868554,4.728431
1544868618,4.746555
1544868679,4.896428
1544868740,4.919219
1544868803,4.757087
1544868864,4.729564
1544868926,4.850246
1544868987,4.839173
1544869049,4.775685
1544869112,4.871937
1544869174,4.739623
1544869236,4.817185
1544869298,4.728162
1544869360,4.800316
1544869422,4.843875
1544869483,4.696050
1544869545,4.942279
1544869606,4.723453
1544869667,4.694635
1544869730,4.826393
1544869793,4.869408
1544869855,4.816092
1544869917,4.775408
1544869979,4.814026
1544870040,4.757028
1544870102,4.844281
