time,value
1544881301,2.894
1544881371,2.895
1544881439,2.917
1544881509,2.892
1544881577,2.895
1544881647,2.902
1544881717,2.895
1544881785,2.896
1544881853,2.900
1544881920,2.894
1544881989,2.886
1544882059,2.885
1544882127,2.890
1544882196,2.890
1544882264,2.894
1544882333,2.889
1544882401,2.890
1544882470,2.887
1544882538,2.891
1544882607,2.887
1544882675,2.889
1544882743,2.896
1544882811,2.891
1544882879,2.910
1544882968,3.068
1544883039,3.006
1544883115,2.904
1544883183,2.893
1544883260,3.000
1544883335,2.970
1544883414,2.976
1544883488,2.911
1544883558,2.908
1544883629,2.902
1544883699,3.029
1544883770,2.886
1544883838,2.899
1544883908,2.921
1544883978,2.889
1544884048,2.886
1544884116,2.887
1544884184,2.901
1544884253,2.898
1544884323,2.883
1544884393,2.912
1544884462,2.886
1544884531,2.885
1544884601,2.893
