time,value
1544875765,3189425.991
1544875849,3218886.239
1544875929,3349891.843
1544876010,3265265.302
1544876090,3257268.841
1544876168,1744193.670
1544876265,2836825.059
1544876349,3351086.535
1544876428,3314999.252
1544876506,3358088.702
1544876585,3345770.846
1544876664,3299514.387
1544876741,3392385.789
1544876819,3364334.444
1544876897,3372459.129
1544876975,3393460.741
1544877052,3385437.330
1544877130,3337342.509
1544877209,3378027.772
1544877288,3393464.766
1544877366,3294518.457
1544877444,3378799.450
1544877521,3367009.442
1544877599,3398802.406
1544877677,3305404.198
