time,value
1545063475,2651.000
1545063558,2691.000
1545063639,2709.000
1545063719,2823.500
1545063798,2834.000
1545063877,2798.000
1545063957,2714.500
1545064036,2889.500
1545064115,2886.000
1545064194,2901.000
1545064273,2865.000
1545064352,2898.500
1545064430,2880.000
1545064508,2888.000
1545064588,2828.500
1545064667,2817.000
1545064744,2784.000
1545064823,2838.500
1545064902,2849.000
1545064982,2860.000
1545065061,2827.000
1545065141,2869.000
1545065222,2845.500
1545065301,2894.000
1545065382,2837.000
1545065461,2859.500
1545065542,2785.500
1545065622,2801.000
1545065703,2837.500
1545065783,2805.000
1545065863,2786.000
1545065944,2795.000
1545066024,2761.000
1545066104,2777.000
1545066184,2770.000
1545066264,2849.500
1545066343,2838.500
1545066423,2820.500
1545066502,2850.000
1545066582,2842.500
1545066662,2878.000
1545066742,2861.000
1545066821,2869.000
1545066901,2857.000
1545066980,2893.000
1545067060,2861.500
1545067139,2858.000
1545067219,2830.500
