time,value
1544875825,12.459850
1544875903,12.738825
1544875982,15.747351
1544876063,12.702729
1544876144,13.442418
1544876240,13.380762
1544876324,13.947021
1544876402,13.263241
1544876481,13.013590
1544876559,13.998429
1544876638,13.656086
1544876717,12.433578
1544876794,13.493672
1544876872,12.965462
1544876950,12.906132
1544877027,12.750292
1544877105,13.612201
1544877183,13.517049
1544877262,13.504015
1544877341,13.337991
1544877420,12.432528
1544877497,11.936565
1544877574,13.405389
1544877652,13.227053
