time,value
1545063470,2.785
1545063553,2.908
1545063634,2.904
1545063713,2.914
1545063792,2.917
1545063871,2.913
1545063951,2.914
1545064030,2.873
1545064110,2.875
1545064188,2.884
1545064267,2.885
1545064346,2.880
1545064424,2.877
1545064502,2.882
1545064582,2.902
1545064661,2.903
1545064739,2.917
1545064818,2.900
1545064896,2.910
1545064976,2.914
1545065055,2.901
1545065135,2.902
1545065216,2.914
1545065296,2.909
1545065376,2.913
1545065455,2.926
1545065536,2.935
1545065616,2.928
1545065697,2.934
1545065777,2.926
1545065857,2.925
1545065938,2.938
1545066018,2.933
1545066098,2.932
1545066178,2.936
1545066259,2.907
1545066338,2.897
1545066417,2.903
1545066497,2.897
1545066576,2.896
1545066656,2.893
1545066736,2.897
1545066815,2.901
1545066895,2.902
1545066974,2.900
1545067054,2.900
1545067133,2.895
1545067213,2.900
