time,value
1544871049,3423901.822
1544871107,3436829.495
1544871165,3404550.811
1544871223,3436060.792
1544871281,3442446.990
1544871338,3436273.430
1544871396,3426074.243
1544871454,3431129.092
1544871512,3440882.006
1544871570,3355007.954
1544871628,3425600.388
1544871686,3429526.973
1544871744,3431679.652
1544871802,3426103.231
1544871860,3433420.275
1544871918,3453059.860
1544871975,3448766.911
1544872033,3437417.947
1544872091,3427203.765
1544872149,3452574.902
1544872206,3419872.020
1544872264,3433905.087
1544872322,3446343.688
1544872382,3450683.033
1544872440,3450122.199
1544872498,3451044.814
1544872555,3449982.712
1544872613,3386371.621
1544872671,3444513.646
1544872729,3446185.138
1544872787,3439858.679
1544872845,3428349.367
1544872902,3445734.472
1544872960,3439130.780
1544873018,3440141.543
1544873076,3427096.498
1544873135,3461050.974
1544873193,3433704.279
1544873251,3416406.605
1544873309,3444008.701
1544873366,3446390.176
1544873424,3438208.189
1544873482,3410357.441
1544873540,3439483.253
1544873598,3442609.338
1544873655,3449304.574
1544873713,3436401.631
1544873771,3405491.900
