time,value
1544871081,26103.450
1544871139,25420.800
1544871197,25934.150
1544871255,26058.600
1544871312,26794.555
1544871370,25477.200
1544871428,25190.600
1544871486,24784.900
1544871543,24575.200
1544871602,24803.200
1544871660,24384.300
1544871718,25013.900
1544871776,24929.100
1544871834,25139.900
1544871892,25080.200
1544871949,25159.100
1544872007,25266.950
1544872065,24853.400
1544872123,25234.800
1544872180,25047.800
1544872238,25334.800
1544872296,24637.200
1544872354,17918.535
1544872413,22289.275
1544872472,25804.300
1544872529,25805.800
1544872587,25983.850
1544872645,23639.820
1544872703,25184.800
1544872760,24961.700
1544872818,24233.800
1544872876,25177.600
1544872934,24450.100
1544872992,25565.850
1544873050,23025.000
1544873108,21089.375
1544873167,25472.400
1544873225,25804.500
1544873283,25676.200
1544873340,24499.400
1544873398,24031.700
1544873456,24849.550
1544873514,25490.000
1544873571,24257.700
1544873630,25055.850
1544873687,24765.550
1544873745,23813.000
1544873803,20812.915
