time,value
1544871087,9.739807
1544871145,9.284125
1544871202,9.722467
1544871260,9.844563
1544871318,9.766769
1544871375,9.796544
1544871433,9.816296
1544871492,9.463607
1544871549,9.696225
1544871608,9.679988
1544871666,9.809353
1544871724,9.676284
1544871782,9.677607
1544871839,9.791012
1544871897,9.651964
1544871955,9.600688
1544872013,9.583398
1544872071,9.526570
1544872128,9.559262
1544872186,9.609683
1544872244,9.581747
1544872302,9.827128
1544872362,9.425352
1544872420,9.921982
1544872477,9.325141
1544872535,9.753353
1544872592,9.720959
1544872651,9.672672
1544872708,9.670687
1544872766,9.750931
1544872824,9.688731
1544872882,9.699434
1544872940,9.785595
1544872998,9.761513
1544873056,9.680847
1544873115,9.796283
1544873173,9.784342
1544873230,9.704203
1544873288,9.729172
1544873346,9.273331
1544873404,9.449746
1544873461,9.835395
1544873520,9.510514
1544873577,9.874437
1544873635,9.355972
1544873693,9.798192
1544873751,9.744880
1544873810,9.859378
