time,value
1544871076,2.875
1544871133,2.874
1544871191,2.882
1544871249,2.879
1544871306,2.879
1544871364,2.880
1544871422,2.880
1544871480,2.879
1544871538,2.879
1544871596,2.884
1544871654,2.879
1544871712,2.876
1544871770,2.874
1544871828,2.875
1544871886,2.882
1544871944,2.878
1544872001,2.882
1544872059,2.873
1544872117,2.875
1544872175,2.873
1544872232,2.871
1544872290,2.873
1544872348,2.866
1544872408,2.874
1544872466,2.872
1544872523,2.878
1544872581,2.871
1544872639,2.871
1544872697,2.874
1544872755,2.876
1544872812,2.871
1544872871,2.874
1544872928,2.874
1544872986,2.871
1544873044,2.875
1544873102,2.873
1544873161,2.875
1544873219,2.872
1544873277,2.876
1544873334,2.875
1544873392,2.873
1544873450,2.876
1544873508,2.875
1544873566,2.869
1544873624,2.872
1544873681,2.874
1544873739,2.872
1544873798,2.877
