time,value
1545168412,44961.592
1545168861,48424.093
1545169291,48555.861
1545169720,48341.935
1545170147,48411.289
1545170575,48312.467
1545171003,48403.445
1545171429,48323.408
1545171858,48288.149
1545172296,48667.104
1545172727,48570.159
1545173156,48330.404
1545173588,48435.763
1545174015,48348.640
1545174440,48444.853
1545174869,48662.966
1545175297,48491.201
1545175728,48486.759
1545176157,48371.547
1545176586,48495.412
1545177018,48224.535
1545177452,48444.678
1545177884,48493.136
1545178314,48579.035
1545178747,48477.324
1545179169,48595.896
1545179594,48586.525
1545180019,48454.492
1545180442,48598.333
1545180868,48363.524
1545181295,48257.500
1545181719,48547.598
1545182146,48496.825
1545182574,48565.274
1545183002,48613.251
1545183430,48518.030
1545183856,48340.235
1545184286,48587.010
1545184709,48703.521
1545185134,48421.953
1545185560,48320.167
1545185984,48625.672
1545186411,48554.065
1545186840,48621.361
1545187267,48582.301
1545187697,48719.335
1545188127,48656.258
1545188557,48405.353
