time,value
1545168603,1182.000
1545169050,1317.500
1545169481,1250.000
1545169910,1349.500
1545170336,1332.000
1545170765,1224.500
1545171192,1370.500
1545171618,1306.000
1545172055,1168.000
1545172486,1424.000
1545172917,1308.000
1545173346,1303.000
1545173778,1374.500
1545174205,1405.500
1545174630,1210.500
1545175059,1268.000
1545175488,1371.500
1545175919,1271.500
1545176348,1240.500
1545176777,1428.500
1545177209,1370.000
1545177643,1318.000
1545178074,1345.500
1545178505,1472.500
1545178937,1328.500
1545179359,1287.000
1545179785,1355.000
1545180210,1297.000
1545180633,1376.500
1545181059,1375.500
1545181486,1355.500
1545181910,1371.000
1545182338,1427.000
1545182766,1281.500
1545183193,1181.500
1545183621,1371.500
1545184049,1408.500
1545184476,1303.000
1545184899,1444.500
1545185324,1327.500
1545185751,1347.000
1545186175,1371.500
1545186602,1212.500
1545187032,1363.000
1545187457,1379.500
1545187887,1309.000
1545188317,1316.500
1545188748,1306.000
