time,value
1545168638,176.608837
1545169071,179.744661
1545169502,180.797003
1545169931,178.493351
1545170358,180.379049
1545170786,177.417695
1545171214,177.448825
1545171640,179.016024
1545172077,181.901309
1545172508,181.070116
1545172938,179.908086
1545173368,183.237516
1545173800,177.208970
1545174226,177.017376
1545174652,179.578395
1545175080,178.172981
1545175509,181.274344
1545175940,178.233110
1545176370,179.632628
1545176799,180.119929
1545177230,183.712904
1545177665,181.638202
1545178096,180.261016
1545178526,182.989317
1545178958,173.670501
1545179381,175.275522
1545179806,174.474657
1545180231,173.721822
1545180654,175.480100
1545181080,176.493672
1545181508,175.135520
1545181932,176.534946
1545182359,176.773888
1545182787,176.558753
1545183214,178.537686
1545183643,176.440214
1545184070,177.503725
1545184498,175.556922
1545184920,176.658066
1545185345,177.616090
1545185772,175.084293
1545186196,178.374246
1545186623,178.436139
1545187053,176.432691
1545187478,181.561171
1545187909,180.580780
1545188339,181.500673
1545188769,181.332780
