time,value
1545168438,82.421
1545168885,82.111
1545169315,82.740
1545169745,82.315
1545170171,82.381
1545170600,82.444
1545171027,82.266
1545171454,82.193
1545171883,86.214
1545172321,82.414
1545172751,82.464
1545173181,82.312
1545173613,82.511
1545174039,82.461
1545174465,82.510
1545174894,82.300
1545175322,82.863
1545175753,82.772
1545176182,82.956
1545176611,83.031
1545177042,82.919
1545177476,83.337
1545177909,82.509
1545178339,82.634
1545178771,82.538
1545179194,82.768
1545179618,83.224
1545180043,83.016
1545180467,82.826
1545180892,83.126
1545181320,83.059
1545181744,82.979
1545182171,83.109
1545182599,83.173
1545183026,83.146
1545183455,83.101
1545183881,83.624
1545184310,82.732
1545184734,82.450
1545185158,82.571
1545185584,83.000
1545186008,83.002
1545186436,83.048
1545186864,83.609
1545187291,82.653
1545187722,82.461
1545188151,82.778
1545188582,82.976
